starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 28 20:20:22 2022	1651177222	1	31	32	1
Thu Apr 28 20:20:22 2022	1651177222	21	25	46	25
Thu Apr 28 20:20:22 2022	1651177222	21	26	47	26
Thu Apr 28 20:20:22 2022	1651177222	21	26	47	26
Thu Apr 28 20:20:22 2022	1651177222	21	26	47	26
Thu Apr 28 20:20:22 2022	1651177222	21	27	48	27
Thu Apr 28 20:20:22 2022	1651177222	21	27	48	27
Thu Apr 28 20:20:22 2022	1651177222	21	27	49	27
Thu Apr 28 20:20:22 2022	1651177222	21	28	49	28
Thu Apr 28 20:20:22 2022	1651177222	21	28	49	28
Thu Apr 28 20:20:22 2022	1651177222	21	28	49	28
Thu Apr 28 20:20:22 2022	1651177222	21	41	62	41
Thu Apr 28 20:20:22 2022	1651177222	21	41	62	41
Thu Apr 28 20:20:22 2022	1651177222	21	41	62	41
Thu Apr 28 20:20:22 2022	1651177222	21	42	63	42
Thu Apr 28 20:20:22 2022	1651177222	21	42	63	42
Thu Apr 28 20:20:22 2022	1651177222	21	42	63	42
Thu Apr 28 20:20:22 2022	1651177222	21	43	64	43
Thu Apr 28 20:20:22 2022	1651177222	21	43	64	43
Thu Apr 28 20:20:22 2022	1651177222	21	43	64	43
Thu Apr 28 20:20:22 2022	1651177222	21	43	64	43
Thu Apr 28 20:20:22 2022	1651177222	21	44	64	44
Thu Apr 28 20:20:22 2022	1651177222	21	44	65	44
Thu Apr 28 20:20:22 2022	1651177222	21	49	70	44
Thu Apr 28 20:20:22 2022	1651177222	21	50	70	49
Thu Apr 28 20:20:22 2022	1651177222	21	50	70	49
Thu Apr 28 20:20:22 2022	1651177222	21	50	70	49
Thu Apr 28 20:20:22 2022	1651177222	21	50	70	49
Thu Apr 28 20:20:22 2022	1651177222	21	50	70	49
Thu Apr 28 20:20:22 2022	1651177222	21	50	70	49
Thu Apr 28 20:20:22 2022	1651177222	21	50	70	49
Thu Apr 28 20:20:22 2022	1651177222	21	50	70	49
Thu Apr 28 20:20:22 2022	1651177222	23	50	73	49
Thu Apr 28 20:20:22 2022	1651177222	21	58	78	58
Thu Apr 28 20:20:22 2022	1651177222	21	58	79	58
Thu Apr 28 20:20:22 2022	1651177222	21	58	79	58
Thu Apr 28 20:20:22 2022	1651177222	21	58	79	58
Thu Apr 28 20:20:22 2022	1651177222	21	58	79	58
Thu Apr 28 20:20:22 2022	1651177222	22	58	80	58
Thu Apr 28 20:20:22 2022	1651177222	22	58	80	58
Thu Apr 28 20:20:22 2022	1651177222	22	58	80	58
Thu Apr 28 20:20:22 2022	1651177222	23	58	80	58
Thu Apr 28 20:20:22 2022	1651177222	23	58	80	58
Thu Apr 28 20:20:22 2022	1651177222	21	66	86	65
Thu Apr 28 20:20:22 2022	1651177222	21	66	86	65
Thu Apr 28 20:20:22 2022	1651177222	21	66	86	65
Thu Apr 28 20:20:22 2022	1651177222	21	66	87	65
Thu Apr 28 20:20:22 2022	1651177222	21	66	87	65
Thu Apr 28 20:20:22 2022	1651177222	21	66	87	65
Thu Apr 28 20:20:22 2022	1651177222	21	66	87	65
Thu Apr 28 20:20:22 2022	1651177222	22	66	87	65
Thu Apr 28 20:20:22 2022	1651177222	22	65	87	65
Thu Apr 28 20:20:22 2022	1651177222	22	66	87	65
