starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 28 19:12:39 2022	1651173159	3	31	35	1
Thu Apr 28 19:12:39 2022	1651173159	31	28	58	28
Thu Apr 28 19:12:39 2022	1651173159	31	28	58	28
Thu Apr 28 19:12:39 2022	1651173159	31	28	58	28
Thu Apr 28 19:12:39 2022	1651173159	31	28	58	28
Thu Apr 28 19:12:39 2022	1651173159	31	28	58	28
Thu Apr 28 19:12:39 2022	1651173159	30	28	58	28
Thu Apr 28 19:12:39 2022	1651173159	31	28	59	28
Thu Apr 28 19:12:39 2022	1651173159	31	28	59	28
Thu Apr 28 19:12:39 2022	1651173159	31	28	59	28
Thu Apr 28 19:12:39 2022	1651173159	31	28	59	28
Thu Apr 28 19:12:39 2022	1651173159	30	64	94	63
Thu Apr 28 19:12:39 2022	1651173159	31	63	94	63
Thu Apr 28 19:12:39 2022	1651173159	30	64	94	64
Thu Apr 28 19:12:39 2022	1651173159	31	64	95	64
Thu Apr 28 19:12:39 2022	1651173159	31	65	95	64
Thu Apr 28 19:12:39 2022	1651173159	30	65	95	65
Thu Apr 28 19:12:39 2022	1651173159	30	65	96	65
Thu Apr 28 19:12:39 2022	1651173159	30	65	96	65
Thu Apr 28 19:12:39 2022	1651173159	30	66	96	66
Thu Apr 28 19:12:39 2022	1651173159	30	66	97	66
Thu Apr 28 19:12:39 2022	1651173159	30	67	97	66
Thu Apr 28 19:12:39 2022	1651173159	30	67	97	67
Thu Apr 28 19:12:39 2022	1651173159	30	67	98	67
Thu Apr 28 19:12:39 2022	1651173159	30	73	103	73
Thu Apr 28 19:12:39 2022	1651173159	30	73	103	73
Thu Apr 28 19:12:39 2022	1651173159	30	73	103	73
Thu Apr 28 19:12:39 2022	1651173159	30	73	103	73
Thu Apr 28 19:12:39 2022	1651173159	30	73	103	73
Thu Apr 28 19:12:39 2022	1651173159	30	73	103	73
Thu Apr 28 19:12:39 2022	1651173159	30	73	103	73
Thu Apr 28 19:12:39 2022	1651173159	30	73	103	73
Thu Apr 28 19:12:39 2022	1651173159	30	73	103	73
Thu Apr 28 19:12:39 2022	1651173159	30	73	103	73
Thu Apr 28 19:12:39 2022	1651173159	30	81	111	81
Thu Apr 28 19:12:39 2022	1651173159	30	81	111	81
Thu Apr 28 19:12:39 2022	1651173159	30	81	111	81
Thu Apr 28 19:12:39 2022	1651173159	30	81	111	81
Thu Apr 28 19:12:39 2022	1651173159	30	81	111	81
Thu Apr 28 19:12:39 2022	1651173159	30	81	111	81
Thu Apr 28 19:12:39 2022	1651173159	30	81	111	81
Thu Apr 28 19:12:39 2022	1651173159	30	81	111	81
Thu Apr 28 19:12:39 2022	1651173159	30	81	111	81
Thu Apr 28 19:12:39 2022	1651173159	30	81	111	81
Thu Apr 28 19:12:39 2022	1651173159	30	83	113	83
Thu Apr 28 19:12:39 2022	1651173159	30	83	113	83
Thu Apr 28 19:12:39 2022	1651173159	30	84	114	84
Thu Apr 28 19:12:39 2022	1651173159	30	84	114	84
Thu Apr 28 19:12:39 2022	1651173159	30	84	114	84
Thu Apr 28 19:12:39 2022	1651173159	30	85	115	85
Thu Apr 28 19:12:39 2022	1651173159	30	85	115	85
Thu Apr 28 19:12:39 2022	1651173159	30	85	115	85
Thu Apr 28 19:12:39 2022	1651173159	30	86	115	86
Thu Apr 28 19:12:39 2022	1651173159	30	86	115	86
Thu Apr 28 19:12:39 2022	1651173159	30	86	116	86
Thu Apr 28 19:12:39 2022	1651173159	30	87	116	87
Thu Apr 28 19:12:39 2022	1651173159	30	87	116	87
Thu Apr 28 19:12:39 2022	1651173159	30	87	117	87
Thu Apr 28 19:12:39 2022	1651173159	30	88	117	88
Thu Apr 28 19:12:39 2022	1651173159	30	88	118	88
Thu Apr 28 19:12:39 2022	1651173159	30	88	118	88
Thu Apr 28 19:12:39 2022	1651173159	30	88	118	88
Thu Apr 28 19:12:39 2022	1651173159	29	89	118	89
Thu Apr 28 19:12:39 2022	1651173159	30	89	119	89
Thu Apr 28 19:12:39 2022	1651173159	29	89	119	89
Thu Apr 28 19:12:39 2022	1651173159	30	89	119	89
Thu Apr 28 19:12:39 2022	1651173159	30	89	119	89
Thu Apr 28 19:12:39 2022	1651173159	30	90	120	90
Thu Apr 28 19:12:39 2022	1651173159	30	90	120	90
Thu Apr 28 19:12:39 2022	1651173159	30	91	120	91
Thu Apr 28 19:12:39 2022	1651173159	30	91	120	91
Thu Apr 28 19:12:39 2022	1651173159	23	97	121	97
Thu Apr 28 19:12:39 2022	1651173159	30	92	121	92
Thu Apr 28 19:12:39 2022	1651173159	30	92	121	92
Thu Apr 28 19:12:39 2022	1651173159	29	92	121	92
Thu Apr 28 19:12:39 2022	1651173159	29	92	121	92
Thu Apr 28 19:12:39 2022	1651173159	30	92	122	92
Thu Apr 28 19:12:39 2022	1651173159	23	98	122	98
Thu Apr 28 19:12:39 2022	1651173159	29	93	122	93
Thu Apr 28 19:12:39 2022	1651173159	29	93	123	93
Thu Apr 28 19:12:39 2022	1651173159	29	93	123	93
Thu Apr 28 19:12:39 2022	1651173159	29	93	123	93
Thu Apr 28 19:12:39 2022	1651173159	29	94	123	94
Thu Apr 28 19:12:39 2022	1651173159	24	100	123	100
Thu Apr 28 19:12:39 2022	1651173159	29	94	124	94
Thu Apr 28 19:12:39 2022	1651173159	23	100	124	100
Thu Apr 28 19:12:39 2022	1651173159	29	95	124	94
Thu Apr 28 19:12:39 2022	1651173159	24	101	124	100
Thu Apr 28 19:12:39 2022	1651173159	29	95	124	95
Thu Apr 28 19:12:39 2022	1651173159	29	95	124	95
Thu Apr 28 19:12:39 2022	1651173159	29	96	125	96
Thu Apr 28 19:12:39 2022	1651173159	29	96	125	96
Thu Apr 28 19:12:39 2022	1651173159	24	102	125	102
Thu Apr 28 19:12:39 2022	1651173159	29	96	125	96
Thu Apr 28 19:12:39 2022	1651173159	29	96	125	96
Thu Apr 28 19:12:39 2022	1651173159	24	102	126	102
Thu Apr 28 19:12:39 2022	1651173159	29	97	126	97
Thu Apr 28 19:12:39 2022	1651173159	29	97	126	97
Thu Apr 28 19:12:39 2022	1651173159	29	97	126	97
Thu Apr 28 19:12:39 2022	1651173159	29	97	126	97
Thu Apr 28 19:12:39 2022	1651173159	29	97	127	97
Thu Apr 28 19:12:39 2022	1651173159	29	98	127	95
Thu Apr 28 19:12:39 2022	1651173159	24	104	127	103
Thu Apr 28 19:12:39 2022	1651173159	29	98	127	98
Thu Apr 28 19:12:39 2022	1651173159	29	98	127	98
Thu Apr 28 19:12:39 2022	1651173159	30	98	128	98
Thu Apr 28 19:12:39 2022	1651173159	30	102	132	102
Thu Apr 28 19:12:39 2022	1651173159	30	103	133	103
Thu Apr 28 19:12:39 2022	1651173159	30	103	133	103
Thu Apr 28 19:12:39 2022	1651173159	30	104	133	104
Thu Apr 28 19:12:39 2022	1651173159	30	104	133	104
Thu Apr 28 19:12:39 2022	1651173159	30	104	134	104
Thu Apr 28 19:12:39 2022	1651173159	30	104	134	104
Thu Apr 28 19:12:39 2022	1651173159	30	105	134	105
Thu Apr 28 19:12:39 2022	1651173159	30	105	134	105
Thu Apr 28 19:12:39 2022	1651173159	30	106	135	106
Thu Apr 28 19:12:39 2022	1651173159	30	106	136	106
Thu Apr 28 19:12:39 2022	1651173159	30	106	136	106
Thu Apr 28 19:12:39 2022	1651173159	29	107	136	107
Thu Apr 28 19:12:39 2022	1651173159	29	108	137	108
Thu Apr 28 19:12:39 2022	1651173159	29	108	137	108
Thu Apr 28 19:12:39 2022	1651173159	30	108	137	108
Thu Apr 28 19:12:39 2022	1651173159	29	109	138	109
Thu Apr 28 19:12:39 2022	1651173159	29	109	138	109
Thu Apr 28 19:12:39 2022	1651173159	29	110	139	109
Thu Apr 28 19:12:39 2022	1651173159	29	110	139	110
Thu Apr 28 19:12:39 2022	1651173159	29	110	139	110
Thu Apr 28 19:12:39 2022	1651173159	29	110	139	110
Thu Apr 28 19:12:39 2022	1651173159	29	111	140	111
Thu Apr 28 19:12:39 2022	1651173159	29	111	140	111
Thu Apr 28 19:12:39 2022	1651173159	29	112	141	112
Thu Apr 28 19:12:39 2022	1651173159	29	112	141	112
Thu Apr 28 19:12:39 2022	1651173159	29	112	141	112
Thu Apr 28 19:12:39 2022	1651173159	29	113	142	113
Thu Apr 28 19:12:39 2022	1651173159	29	113	142	113
Thu Apr 28 19:12:39 2022	1651173159	29	113	142	113
Thu Apr 28 19:12:39 2022	1651173159	29	114	142	114
Thu Apr 28 19:12:39 2022	1651173159	29	114	143	114
Thu Apr 28 19:12:39 2022	1651173159	29	119	148	119
Thu Apr 28 19:12:39 2022	1651173159	29	119	148	119
Thu Apr 28 19:12:39 2022	1651173159	28	119	148	119
Thu Apr 28 19:12:39 2022	1651173159	29	119	148	119
Thu Apr 28 19:12:39 2022	1651173159	29	119	148	119
Thu Apr 28 19:12:39 2022	1651173159	29	119	148	119
Thu Apr 28 19:12:39 2022	1651173159	29	119	148	119
Thu Apr 28 19:12:39 2022	1651173159	29	119	148	119
Thu Apr 28 19:12:39 2022	1651173159	29	119	148	119
Thu Apr 28 19:12:39 2022	1651173159	29	119	148	119
Thu Apr 28 19:12:39 2022	1651173159	28	120	149	120
Thu Apr 28 19:12:39 2022	1651173159	29	120	149	120
Thu Apr 28 19:12:39 2022	1651173159	29	121	149	121
Thu Apr 28 19:12:39 2022	1651173159	28	121	150	121
Thu Apr 28 19:12:43 2022	1651173163	4	145	150	145
Thu Apr 28 19:12:39 2022	1651173159	28	122	150	122
Thu Apr 28 19:12:43 2022	1651173163	4	146	150	146
Thu Apr 28 19:12:39 2022	1651173159	28	122	151	122
Thu Apr 28 19:12:39 2022	1651173159	29	122	151	122
Thu Apr 28 19:12:43 2022	1651173163	4	147	151	146
Thu Apr 28 19:12:43 2022	1651173163	4	147	151	147
Thu Apr 28 19:12:43 2022	1651173163	4	147	151	147
Thu Apr 28 19:12:43 2022	1651173163	4	147	151	147
Thu Apr 28 19:12:43 2022	1651173163	4	147	151	147
Thu Apr 28 19:12:43 2022	1651173163	4	147	151	147
Thu Apr 28 19:12:43 2022	1651173163	4	147	151	147
Thu Apr 28 19:12:39 2022	1651173159	28	123	151	122
Thu Apr 28 19:12:43 2022	1651173163	4	147	151	147
Thu Apr 28 19:12:43 2022	1651173163	4	148	151	147
Thu Apr 28 19:12:43 2022	1651173163	4	148	151	148
Thu Apr 28 19:12:43 2022	1651173163	4	147	151	147
Thu Apr 28 19:12:43 2022	1651173163	4	148	151	147
Thu Apr 28 19:12:43 2022	1651173163	4	148	151	148
Thu Apr 28 19:12:43 2022	1651173163	4	148	152	148
Thu Apr 28 19:12:43 2022	1651173163	5	147	152	147
Thu Apr 28 19:12:43 2022	1651173163	5	147	152	147
Thu Apr 28 19:12:43 2022	1651173163	4	148	152	148
Thu Apr 28 19:12:43 2022	1651173163	5	147	152	147
Thu Apr 28 19:12:43 2022	1651173163	6	146	152	146
Thu Apr 28 19:12:43 2022	1651173163	5	147	152	147
Thu Apr 28 19:12:43 2022	1651173163	5	147	152	147
Thu Apr 28 19:12:43 2022	1651173163	5	147	152	147
Thu Apr 28 19:12:43 2022	1651173163	4	149	152	148
Thu Apr 28 19:12:43 2022	1651173163	4	149	153	149
Thu Apr 28 19:12:43 2022	1651173163	5	148	153	148
Thu Apr 28 19:12:43 2022	1651173163	4	149	153	149
Thu Apr 28 19:12:43 2022	1651173163	4	148	153	148
Thu Apr 28 19:12:43 2022	1651173163	5	148	153	148
Thu Apr 28 19:12:43 2022	1651173163	4	149	153	149
Thu Apr 28 19:12:43 2022	1651173163	4	149	153	149
Thu Apr 28 19:12:43 2022	1651173163	4	149	153	149
