starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 28 11:54:34 2022	1651164874	12	15	27	15
Thu Apr 28 11:54:32 2022	1651164872	11	16	28	16
Thu Apr 28 11:54:33 2022	1651164873	12	15	28	15
Thu Apr 28 11:54:29 2022	1651164869	11	17	28	17
Thu Apr 28 11:54:32 2022	1651164872	13	15	28	15
Thu Apr 28 11:54:30 2022	1651164870	13	15	28	15
Thu Apr 28 11:54:32 2022	1651164872	12	16	28	16
Thu Apr 28 11:54:34 2022	1651164874	13	15	28	15
Thu Apr 28 11:54:32 2022	1651164872	14	14	28	14
Thu Apr 28 11:54:30 2022	1651164870	11	17	28	17
Thu Apr 28 11:54:30 2022	1651164870	11	17	28	17
Thu Apr 28 11:54:31 2022	1651164871	13	15	28	15
Thu Apr 28 11:54:32 2022	1651164872	13	15	28	15
Thu Apr 28 11:54:29 2022	1651164869	12	16	28	16
Thu Apr 28 11:54:29 2022	1651164869	11	17	28	17
Thu Apr 28 11:54:34 2022	1651164874	13	15	28	15
Thu Apr 28 11:54:30 2022	1651164870	13	16	29	15
Thu Apr 28 11:54:30 2022	1651164870	13	16	29	16
Thu Apr 28 11:54:30 2022	1651164870	13	15	29	15
Thu Apr 28 11:54:31 2022	1651164871	12	17	29	17
Thu Apr 28 11:54:32 2022	1651164872	14	15	29	15
Thu Apr 28 11:54:31 2022	1651164871	14	15	29	15
Thu Apr 28 11:54:30 2022	1651164870	14	15	29	15
Thu Apr 28 11:54:33 2022	1651164873	12	16	29	16
Thu Apr 28 11:54:30 2022	1651164870	13	16	29	16
Thu Apr 28 11:54:34 2022	1651164874	14	14	29	14
Thu Apr 28 11:54:32 2022	1651164872	13	16	29	15
Thu Apr 28 11:54:32 2022	1651164872	11	18	29	18
Thu Apr 28 11:54:30 2022	1651164870	12	17	29	16
Thu Apr 28 11:54:33 2022	1651164873	13	16	29	16
Thu Apr 28 11:54:32 2022	1651164872	12	17	29	17
