starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 28 20:20:03 2022	1651177203	1	5	6	2
Thu Apr 28 20:20:03 2022	1651177203	4	6	9	5
Thu Apr 28 20:20:03 2022	1651177203	4	6	9	5
Thu Apr 28 20:20:03 2022	1651177203	4	5	9	5
Thu Apr 28 20:20:03 2022	1651177203	4	5	9	5
Thu Apr 28 20:20:03 2022	1651177203	4	5	9	5
Thu Apr 28 20:20:03 2022	1651177203	4	5	9	5
Thu Apr 28 20:20:03 2022	1651177203	4	5	9	5
Thu Apr 28 20:20:03 2022	1651177203	4	5	9	5
Thu Apr 28 20:20:03 2022	1651177203	4	5	9	5
Thu Apr 28 20:20:03 2022	1651177203	4	6	9	5
Thu Apr 28 20:20:03 2022	1651177203	4	13	17	13
Thu Apr 28 20:20:03 2022	1651177203	4	13	17	13
Thu Apr 28 20:20:03 2022	1651177203	4	13	17	13
Thu Apr 28 20:20:03 2022	1651177203	4	13	17	13
Thu Apr 28 20:20:03 2022	1651177203	4	13	17	13
Thu Apr 28 20:20:03 2022	1651177203	4	13	17	13
Thu Apr 28 20:20:03 2022	1651177203	3	13	17	13
Thu Apr 28 20:20:03 2022	1651177203	4	13	17	13
Thu Apr 28 20:20:03 2022	1651177203	4	13	17	13
Thu Apr 28 20:20:03 2022	1651177203	4	13	17	13
Thu Apr 28 20:20:03 2022	1651177203	3	15	18	14
Thu Apr 28 20:20:03 2022	1651177203	3	15	18	15
Thu Apr 28 20:20:03 2022	1651177203	3	15	18	15
Thu Apr 28 20:20:03 2022	1651177203	3	15	18	15
Thu Apr 28 20:20:03 2022	1651177203	3	15	18	15
Thu Apr 28 20:20:03 2022	1651177203	3	16	19	15
Thu Apr 28 20:20:03 2022	1651177203	3	16	19	16
Thu Apr 28 20:20:03 2022	1651177203	3	16	19	16
Thu Apr 28 20:20:03 2022	1651177203	3	16	19	16
Thu Apr 28 20:20:03 2022	1651177203	3	16	19	16
Thu Apr 28 20:20:03 2022	1651177203	3	17	20	17
Thu Apr 28 20:20:03 2022	1651177203	3	17	20	17
Thu Apr 28 20:20:03 2022	1651177203	3	17	20	17
Thu Apr 28 20:20:03 2022	1651177203	3	17	20	17
Thu Apr 28 20:20:03 2022	1651177203	3	18	20	18
Thu Apr 28 20:20:03 2022	1651177203	1	21	22	21
Thu Apr 28 20:20:03 2022	1651177203	1	21	22	21
Thu Apr 28 20:20:03 2022	1651177203	1	21	22	21
Thu Apr 28 20:20:03 2022	1651177203	1	22	22	21
Thu Apr 28 20:20:03 2022	1651177203	1	22	22	22
Thu Apr 28 20:20:03 2022	1651177203	1	22	22	22
Thu Apr 28 20:20:03 2022	1651177203	1	22	22	22
Thu Apr 28 20:20:03 2022	1651177203	1	22	22	22
Thu Apr 28 20:20:03 2022	1651177203	1	22	22	22
