starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 28 20:15:45 2022	1651176945	1	6	6	1
Thu Apr 28 20:15:45 2022	1651176945	1	8	9	8
Thu Apr 28 20:15:45 2022	1651176945	1	8	9	8
Thu Apr 28 20:15:45 2022	1651176945	1	8	9	8
Thu Apr 28 20:15:45 2022	1651176945	1	8	9	8
Thu Apr 28 20:15:45 2022	1651176945	1	8	9	8
Thu Apr 28 20:15:45 2022	1651176945	1	8	9	8
Thu Apr 28 20:15:45 2022	1651176945	1	8	9	8
Thu Apr 28 20:15:46 2022	1651176946	3	7	10	7
Thu Apr 28 20:15:46 2022	1651176946	3	7	10	7
Thu Apr 28 20:15:46 2022	1651176946	1	9	10	9
Thu Apr 28 20:15:46 2022	1651176946	1	9	10	9
Thu Apr 28 20:15:46 2022	1651176946	1	9	10	9
Thu Apr 28 20:15:46 2022	1651176946	6	10	16	9
Thu Apr 28 20:15:46 2022	1651176946	6	10	16	9
Thu Apr 28 20:15:46 2022	1651176946	6	10	16	9
Thu Apr 28 20:15:46 2022	1651176946	6	10	16	9
Thu Apr 28 20:15:46 2022	1651176946	6	10	16	9
Thu Apr 28 20:15:46 2022	1651176946	6	10	16	9
Thu Apr 28 20:15:46 2022	1651176946	6	10	16	9
Thu Apr 28 20:15:46 2022	1651176946	6	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	6	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	6	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	6	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	6	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	6	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	7	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	7	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	7	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	7	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	7	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	7	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	7	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	7	10	17	10
Thu Apr 28 20:15:46 2022	1651176946	1	16	17	15
Thu Apr 28 20:15:46 2022	1651176946	1	16	17	15
Thu Apr 28 20:15:46 2022	1651176946	1	16	17	15
Thu Apr 28 20:15:46 2022	1651176946	1	16	17	15
Thu Apr 28 20:15:46 2022	1651176946	2	16	17	15
Thu Apr 28 20:15:46 2022	1651176946	2	16	17	15
Thu Apr 28 20:15:46 2022	1651176946	2	16	17	15
Thu Apr 28 20:15:46 2022	1651176946	2	16	17	15
Thu Apr 28 20:15:46 2022	1651176946	8	9	17	9
Thu Apr 28 20:15:46 2022	1651176946	2	16	17	15
Thu Apr 28 20:15:46 2022	1651176946	2	16	17	16
Thu Apr 28 20:15:46 2022	1651176946	8	10	18	9
Thu Apr 28 20:15:46 2022	1651176946	8	10	18	9
Thu Apr 28 20:15:46 2022	1651176946	8	10	18	9
Thu Apr 28 20:15:46 2022	1651176946	8	10	18	9
Thu Apr 28 20:15:46 2022	1651176946	8	10	18	10
Thu Apr 28 20:15:46 2022	1651176946	8	10	18	10
Thu Apr 28 20:15:46 2022	1651176946	8	10	18	9
Thu Apr 28 20:15:46 2022	1651176946	8	10	18	9
Thu Apr 28 20:15:46 2022	1651176946	8	10	18	10
Thu Apr 28 20:15:46 2022	1651176946	8	10	18	9
Thu Apr 28 20:15:46 2022	1651176946	8	10	18	10
Thu Apr 28 20:15:46 2022	1651176946	8	10	18	10
Thu Apr 28 20:15:46 2022	1651176946	1	17	18	16
Thu Apr 28 20:15:46 2022	1651176946	1	17	18	16
