starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 28 20:24:16 2022	1651177456	27	21	48	21
Thu Apr 28 20:24:16 2022	1651177456	27	21	48	21
Thu Apr 28 20:24:16 2022	1651177456	27	21	48	21
Thu Apr 28 20:24:16 2022	1651177456	27	21	48	21
Thu Apr 28 20:24:16 2022	1651177456	27	21	48	21
Thu Apr 28 20:24:16 2022	1651177456	27	21	48	21
Thu Apr 28 20:24:16 2022	1651177456	27	21	48	21
Thu Apr 28 20:24:16 2022	1651177456	27	21	48	21
Thu Apr 28 20:24:16 2022	1651177456	28	21	48	21
Thu Apr 28 20:24:16 2022	1651177456	1	50	50	1
Thu Apr 28 20:24:16 2022	1651177456	27	36	64	36
Thu Apr 28 20:24:16 2022	1651177456	27	43	70	42
Thu Apr 28 20:24:16 2022	1651177456	27	43	70	43
Thu Apr 28 20:24:16 2022	1651177456	27	43	70	43
Thu Apr 28 20:24:16 2022	1651177456	27	43	70	43
Thu Apr 28 20:24:16 2022	1651177456	27	43	71	43
Thu Apr 28 20:24:16 2022	1651177456	31	43	73	43
Thu Apr 28 20:24:16 2022	1651177456	31	43	74	43
Thu Apr 28 20:24:16 2022	1651177456	31	43	74	43
Thu Apr 28 20:24:16 2022	1651177456	27	47	74	47
Thu Apr 28 20:24:16 2022	1651177456	27	47	75	47
Thu Apr 28 20:24:16 2022	1651177456	27	47	75	47
Thu Apr 28 20:24:16 2022	1651177456	30	47	77	47
Thu Apr 28 20:24:16 2022	1651177456	30	47	77	47
Thu Apr 28 20:24:16 2022	1651177456	31	47	78	47
Thu Apr 28 20:24:16 2022	1651177456	27	51	78	51
Thu Apr 28 20:24:16 2022	1651177456	27	51	78	51
Thu Apr 28 20:24:16 2022	1651177456	27	51	79	51
Thu Apr 28 20:24:16 2022	1651177456	27	52	79	52
Thu Apr 28 20:24:16 2022	1651177456	30	50	80	50
Thu Apr 28 20:24:16 2022	1651177456	30	52	82	52
Thu Apr 28 20:24:16 2022	1651177456	30	52	82	52
Thu Apr 28 20:24:16 2022	1651177456	29	53	82	53
Thu Apr 28 20:24:16 2022	1651177456	30	53	83	53
Thu Apr 28 20:24:16 2022	1651177456	27	56	83	56
Thu Apr 28 20:24:16 2022	1651177456	27	56	83	56
Thu Apr 28 20:24:16 2022	1651177456	29	55	85	55
Thu Apr 28 20:24:16 2022	1651177456	29	56	85	56
Thu Apr 28 20:24:16 2022	1651177456	27	57	85	57
Thu Apr 28 20:24:16 2022	1651177456	29	57	86	57
Thu Apr 28 20:24:16 2022	1651177456	29	57	86	57
Thu Apr 28 20:24:16 2022	1651177456	29	57	86	57
Thu Apr 28 20:24:16 2022	1651177456	29	59	87	58
Thu Apr 28 20:24:16 2022	1651177456	29	59	88	59
Thu Apr 28 20:24:16 2022	1651177456	27	61	88	61
Thu Apr 28 20:24:16 2022	1651177456	28	61	90	61
Thu Apr 28 20:24:16 2022	1651177456	29	61	90	61
Thu Apr 28 20:24:16 2022	1651177456	28	62	90	62
Thu Apr 28 20:24:16 2022	1651177456	28	63	90	62
Thu Apr 28 20:24:16 2022	1651177456	28	62	90	61
Thu Apr 28 20:24:16 2022	1651177456	28	62	91	62
Thu Apr 28 20:24:16 2022	1651177456	27	63	91	63
Thu Apr 28 20:24:16 2022	1651177456	29	63	91	63
Thu Apr 28 20:24:16 2022	1651177456	28	63	92	63
Thu Apr 28 20:24:16 2022	1651177456	28	67	94	67
Thu Apr 28 20:24:16 2022	1651177456	28	66	94	66
Thu Apr 28 20:24:16 2022	1651177456	28	67	95	67
Thu Apr 28 20:24:16 2022	1651177456	28	67	95	67
Thu Apr 28 20:24:16 2022	1651177456	28	68	95	68
Thu Apr 28 20:24:16 2022	1651177456	28	68	95	68
Thu Apr 28 20:24:16 2022	1651177456	28	68	96	68
Thu Apr 28 20:24:16 2022	1651177456	28	68	96	67
Thu Apr 28 20:24:16 2022	1651177456	28	69	96	69
Thu Apr 28 20:24:16 2022	1651177456	28	69	97	69
Thu Apr 28 20:24:16 2022	1651177456	28	70	98	70
Thu Apr 28 20:24:16 2022	1651177456	28	70	98	70
Thu Apr 28 20:24:16 2022	1651177456	28	71	98	70
Thu Apr 28 20:24:16 2022	1651177456	28	72	100	72
Thu Apr 28 20:24:16 2022	1651177456	28	73	101	73
Thu Apr 28 20:24:16 2022	1651177456	28	73	101	73
Thu Apr 28 20:24:16 2022	1651177456	28	74	101	73
Thu Apr 28 20:24:16 2022	1651177456	28	74	101	74
Thu Apr 28 20:24:16 2022	1651177456	28	74	102	74
Thu Apr 28 20:24:16 2022	1651177456	28	75	102	74
Thu Apr 28 20:24:16 2022	1651177456	28	75	102	75
Thu Apr 28 20:24:16 2022	1651177456	28	75	103	75
Thu Apr 28 20:24:16 2022	1651177456	28	75	103	75
Thu Apr 28 20:24:16 2022	1651177456	27	83	111	83
Thu Apr 28 20:24:16 2022	1651177456	28	83	111	83
Thu Apr 28 20:24:16 2022	1651177456	28	83	111	83
Thu Apr 28 20:24:16 2022	1651177456	27	83	111	83
Thu Apr 28 20:24:16 2022	1651177456	27	83	111	83
Thu Apr 28 20:24:16 2022	1651177456	28	83	111	83
Thu Apr 28 20:24:16 2022	1651177456	27	83	111	83
Thu Apr 28 20:24:16 2022	1651177456	27	83	111	83
Thu Apr 28 20:24:16 2022	1651177456	28	83	111	83
Thu Apr 28 20:24:16 2022	1651177456	28	83	111	83
Thu Apr 28 20:24:16 2022	1651177456	27	85	112	84
Thu Apr 28 20:24:16 2022	1651177456	27	85	113	85
Thu Apr 28 20:24:16 2022	1651177456	27	86	113	86
Thu Apr 28 20:24:16 2022	1651177456	27	86	114	86
Thu Apr 28 20:24:16 2022	1651177456	27	87	114	87
Thu Apr 28 20:24:16 2022	1651177456	27	95	122	95
Thu Apr 28 20:24:16 2022	1651177456	27	95	122	95
Thu Apr 28 20:24:16 2022	1651177456	27	95	122	95
Thu Apr 28 20:24:16 2022	1651177456	27	95	122	95
Thu Apr 28 20:24:16 2022	1651177456	27	95	122	95
Thu Apr 28 20:24:16 2022	1651177456	27	95	122	95
Thu Apr 28 20:24:16 2022	1651177456	27	95	122	95
Thu Apr 28 20:24:16 2022	1651177456	27	95	122	95
Thu Apr 28 20:24:16 2022	1651177456	27	95	122	95
Thu Apr 28 20:24:16 2022	1651177456	27	95	122	95
Thu Apr 28 20:24:16 2022	1651177456	27	103	130	103
Thu Apr 28 20:24:16 2022	1651177456	27	103	130	103
Thu Apr 28 20:24:16 2022	1651177456	27	103	130	103
Thu Apr 28 20:24:16 2022	1651177456	27	103	130	103
Thu Apr 28 20:24:16 2022	1651177456	27	103	130	103
Thu Apr 28 20:24:16 2022	1651177456	27	103	130	103
Thu Apr 28 20:24:16 2022	1651177456	27	103	130	103
Thu Apr 28 20:24:16 2022	1651177456	27	103	130	103
Thu Apr 28 20:24:16 2022	1651177456	27	103	130	103
Thu Apr 28 20:24:16 2022	1651177456	27	103	130	103
Thu Apr 28 20:24:16 2022	1651177456	27	105	132	104
Thu Apr 28 20:24:16 2022	1651177456	27	105	133	105
Thu Apr 28 20:24:16 2022	1651177456	27	106	133	106
Thu Apr 28 20:24:16 2022	1651177456	27	106	134	106
Thu Apr 28 20:24:16 2022	1651177456	27	107	134	107
Thu Apr 28 20:24:16 2022	1651177456	27	108	135	107
Thu Apr 28 20:24:16 2022	1651177456	27	108	136	108
Thu Apr 28 20:24:16 2022	1651177456	27	109	136	109
Thu Apr 28 20:24:16 2022	1651177456	27	109	137	109
Thu Apr 28 20:24:16 2022	1651177456	27	110	137	110
Thu Apr 28 20:24:16 2022	1651177456	27	111	138	110
Thu Apr 28 20:24:16 2022	1651177456	27	111	138	111
Thu Apr 28 20:24:16 2022	1651177456	27	112	139	112
Thu Apr 28 20:24:16 2022	1651177456	27	112	139	112
Thu Apr 28 20:24:16 2022	1651177456	27	113	140	113
Thu Apr 28 20:24:16 2022	1651177456	27	113	140	113
Thu Apr 28 20:24:16 2022	1651177456	27	114	141	114
Thu Apr 28 20:24:16 2022	1651177456	27	115	142	115
Thu Apr 28 20:24:16 2022	1651177456	27	116	143	116
Thu Apr 28 20:24:16 2022	1651177456	27	117	144	117
Thu Apr 28 20:24:16 2022	1651177456	27	117	144	117
Thu Apr 28 20:24:16 2022	1651177456	27	118	145	118
Thu Apr 28 20:24:16 2022	1651177456	27	118	145	118
Thu Apr 28 20:24:16 2022	1651177456	27	119	146	119
Thu Apr 28 20:24:16 2022	1651177456	27	120	147	119
Thu Apr 28 20:24:16 2022	1651177456	27	120	147	120
Thu Apr 28 20:24:16 2022	1651177456	27	120	147	120
Thu Apr 28 20:24:16 2022	1651177456	27	121	148	120
Thu Apr 28 20:24:16 2022	1651177456	27	121	148	121
Thu Apr 28 20:24:16 2022	1651177456	27	122	149	122
Thu Apr 28 20:24:16 2022	1651177456	27	122	149	122
Thu Apr 28 20:24:16 2022	1651177456	27	123	150	123
Thu Apr 28 20:24:16 2022	1651177456	27	124	151	124
Thu Apr 28 20:24:16 2022	1651177456	27	124	151	124
Thu Apr 28 20:24:16 2022	1651177456	27	125	152	125
Thu Apr 28 20:24:16 2022	1651177456	27	127	154	127
