starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 28 19:00:12 2022	1651172412	2	3	5	1
Thu Apr 28 19:00:12 2022	1651172412	3	7	9	7
Thu Apr 28 19:00:12 2022	1651172412	3	7	9	7
Thu Apr 28 19:00:12 2022	1651172412	3	7	9	7
Thu Apr 28 19:00:12 2022	1651172412	3	7	9	7
Thu Apr 28 19:00:12 2022	1651172412	3	7	9	7
Thu Apr 28 19:00:12 2022	1651172412	3	7	9	7
Thu Apr 28 19:00:12 2022	1651172412	3	7	9	7
Thu Apr 28 19:00:12 2022	1651172412	3	7	9	7
Thu Apr 28 19:00:12 2022	1651172412	3	7	9	7
Thu Apr 28 19:00:12 2022	1651172412	3	7	9	7
Thu Apr 28 19:00:12 2022	1651172412	8	8	16	8
Thu Apr 28 19:00:12 2022	1651172412	8	8	16	8
Thu Apr 28 19:00:12 2022	1651172412	2	14	16	13
Thu Apr 28 19:00:12 2022	1651172412	8	8	16	8
Thu Apr 28 19:00:12 2022	1651172412	3	14	16	13
Thu Apr 28 19:00:12 2022	1651172412	8	8	16	8
Thu Apr 28 19:00:12 2022	1651172412	8	8	16	8
Thu Apr 28 19:00:12 2022	1651172412	3	14	16	13
Thu Apr 28 19:00:12 2022	1651172412	8	8	16	8
Thu Apr 28 19:00:12 2022	1651172412	3	14	16	13
Thu Apr 28 19:00:12 2022	1651172412	8	9	17	9
Thu Apr 28 19:00:12 2022	1651172412	8	10	18	10
Thu Apr 28 19:00:12 2022	1651172412	8	10	18	10
Thu Apr 28 19:00:12 2022	1651172412	8	10	18	10
Thu Apr 28 19:00:12 2022	1651172412	8	10	18	10
Thu Apr 28 19:00:12 2022	1651172412	7	11	18	11
Thu Apr 28 19:00:12 2022	1651172412	8	11	18	11
Thu Apr 28 19:00:12 2022	1651172412	8	11	19	11
Thu Apr 28 19:00:12 2022	1651172412	7	12	19	12
Thu Apr 28 19:00:12 2022	1651172412	7	12	19	12
Thu Apr 28 19:00:12 2022	1651172412	7	12	19	12
Thu Apr 28 19:00:12 2022	1651172412	7	13	20	12
Thu Apr 28 19:00:12 2022	1651172412	7	13	20	13
Thu Apr 28 19:00:12 2022	1651172412	7	13	21	13
Thu Apr 28 19:00:12 2022	1651172412	7	13	21	13
Thu Apr 28 19:00:12 2022	1651172412	7	14	21	14
Thu Apr 28 19:00:12 2022	1651172412	7	14	21	14
Thu Apr 28 19:00:12 2022	1651172412	7	14	22	14
Thu Apr 28 19:00:12 2022	1651172412	7	14	22	14
Thu Apr 28 19:00:12 2022	1651172412	7	15	22	15
Thu Apr 28 19:00:12 2022	1651172412	7	15	23	15
Thu Apr 28 19:00:12 2022	1651172412	7	15	23	15
Thu Apr 28 19:00:12 2022	1651172412	7	16	23	16
Thu Apr 28 19:00:12 2022	1651172412	7	16	23	16
Thu Apr 28 19:00:12 2022	1651172412	7	16	24	16
Thu Apr 28 19:00:12 2022	1651172412	7	17	24	17
Thu Apr 28 19:00:12 2022	1651172412	7	17	24	17
Thu Apr 28 19:00:12 2022	1651172412	7	18	25	17
Thu Apr 28 19:00:12 2022	1651172412	7	18	25	18
Thu Apr 28 19:00:12 2022	1651172412	7	18	25	18
Thu Apr 28 19:00:12 2022	1651172412	7	18	26	18
Thu Apr 28 19:00:12 2022	1651172412	7	19	26	19
Thu Apr 28 19:00:13 2022	1651172413	1	25	26	25
Thu Apr 28 19:00:13 2022	1651172413	1	25	26	25
Thu Apr 28 19:00:12 2022	1651172412	7	19	26	19
Thu Apr 28 19:00:12 2022	1651172412	7	19	26	19
Thu Apr 28 19:00:12 2022	1651172412	7	20	27	20
Thu Apr 28 19:00:12 2022	1651172412	7	20	27	20
Thu Apr 28 19:00:12 2022	1651172412	7	20	27	20
Thu Apr 28 19:00:12 2022	1651172412	7	20	28	20
Thu Apr 28 19:00:12 2022	1651172412	7	21	28	21
Thu Apr 28 19:00:12 2022	1651172412	7	21	28	21
Thu Apr 28 19:00:12 2022	1651172412	7	22	29	21
Thu Apr 28 19:00:12 2022	1651172412	7	22	29	22
Thu Apr 28 19:00:12 2022	1651172412	7	22	29	22
Thu Apr 28 19:00:12 2022	1651172412	7	23	30	22
Thu Apr 28 19:00:12 2022	1651172412	7	23	30	23
Thu Apr 28 19:00:12 2022	1651172412	7	23	30	23
Thu Apr 28 19:00:12 2022	1651172412	1	30	30	30
Thu Apr 28 19:00:12 2022	1651172412	7	23	30	23
Thu Apr 28 19:00:12 2022	1651172412	7	24	31	23
Thu Apr 28 19:00:12 2022	1651172412	1	30	31	30
Thu Apr 28 19:00:12 2022	1651172412	1	30	31	30
Thu Apr 28 19:00:12 2022	1651172412	1	30	31	30
Thu Apr 28 19:00:12 2022	1651172412	7	24	31	24
Thu Apr 28 19:00:13 2022	1651172413	0	31	31	31
Thu Apr 28 19:00:12 2022	1651172412	7	24	31	24
Thu Apr 28 19:00:13 2022	1651172413	0	31	31	31
Thu Apr 28 19:00:13 2022	1651172413	5	26	31	26
Thu Apr 28 19:00:13 2022	1651172413	0	31	31	31
Thu Apr 28 19:00:13 2022	1651172413	1	31	31	31
Thu Apr 28 19:00:13 2022	1651172413	0	31	31	31
Thu Apr 28 19:00:13 2022	1651172413	0	31	31	31
Thu Apr 28 19:00:12 2022	1651172412	1	31	31	30
Thu Apr 28 19:00:13 2022	1651172413	0	31	31	31
Thu Apr 28 19:00:12 2022	1651172412	7	24	31	24
Thu Apr 28 19:00:13 2022	1651172413	0	31	31	31
Thu Apr 28 19:00:12 2022	1651172412	1	31	32	31
Thu Apr 28 19:00:13 2022	1651172413	0	31	32	31
Thu Apr 28 19:00:13 2022	1651172413	0	31	32	31
Thu Apr 28 19:00:13 2022	1651172413	1	31	32	31
